Date,Instrument,"Return on Average Common Equity - %, TTM","Return on Average Total Assets - %, Annualized",
9/30/2024,RKLB.O,-37.45427028,-17.59992834,
6/30/2024,RKLB.O,-33.19290058,-13.93502928,
3/31/2024,RKLB.O,-32.38960324,-16.54126931,
12/31/2023,RKLB.O,-29.74074527,-21.18104721,
9/30/2023,RKLB.O,-26.51996886,-16.66149553,
6/30/2023,RKLB.O,-24.66194842,-18.46068245,
3/31/2023,RKLB.O,-22.56309681,-18.28057128,
12/31/2022,RKLB.O,-19.82190844,-14.83243487,
9/30/2022,RKLB.O,-13.99900656,-13.68929314,
